place,like,content,tag,date
,11,NEW MENU💕🍷레드뱅쇼 & 🍸화이트뱅쇼묵직하고 고급스러운 티죠🙂레드와인과 화이트와인 속프루티향과 시나몬향 가~득한잔하시러 오세요🤗 #레이지앤코 #레이지앤코서울 #lazyandco #lazyandcoseoul #서울커피맛집 #서울카페#용산커피맛집 #용산디저트 #신용산디저트 #용산핫플레이스 #신용산핫플레이스#라떼맛집 #원두맛집 #원두맛있는카페 #뱅쇼 #뱅쇼맛집 #레드와인 🍷 #화이트와인 🍸,"['#레이지앤코', '#레이지앤코서울', '#lazyandco', '#lazyandcoseoul', '#서울커피맛집', '#서울카페', '#용산커피맛집', '#용산디저트', '#신용산디저트', '#용산핫플레이스', '#신용산핫플레이스', '#라떼맛집', '#원두맛집', '#원두맛있는카페', '#뱅쇼', '#뱅쇼맛집', '#레드와인', '#화이트와인']",2021-11-22
,66,"어제부터 일요일까지, 이번주 약속이 꽉 차버렸다. 피곤한 인싸의 삶... 어쩜 좋아?",[],2021-11-22
룰커피,25,시간이 없어서 잠시 들렸던 룰커피☕️브루잉 레시피 잡을 때정인성 바리스타님 영상을 정말 많이 돌려봤는데실제로 뵈니까 왠지 친근감 들고 쫌 신기했다이것저것 물어보는 질문에도 친절하게 잘 알려주시고유쾌하셔서 더 많은 얘기를 나눠보고 싶었는데시간이 없어서 아쉬웠다마시기 편한 커피 역시 딱 내 스탈👍👍👍,[],2021-11-22
itslitcoffee,93,[It's LIT!]안녕하세요.잇츠릿입니다.즐거운 월요일 한 주의 시작입니다.벌써 11월도 마지막 주에 접어들었습니다.시간이 참 빨리가네요.이번 한 주도 다들 빠이팅하시고 이제 슬슬 영하의 온도로 떨어지니 감기들 조심하세요!추울땐 잇츠릿에서 몸 녹이다 가시면 좋겠습니다!오늘도 잇츠릿은 활짝 열려있습니다.🙆‍♂️...#잇츠릿 #잇츠릿 #itslit #itslitcoffee,"['#잇츠릿', '#잇츠릿', '#itslit', '#itslitcoffee']",2021-11-22
,12,주말과 다르게 구름이 맑은 오늘이네요🤗그치만 바람이 많이 불고 너무 추워졌으니든든하게 식사 꼭 챙겨드세요!🍱맛점되세요😋#레이지앤코 #레이지앤코서울 #lazyandco #lazyandcoseoul #서울커피맛집 #서울카페#용산커피맛집 #용산디저트 #신용산디저트 #용산핫플레이스 #신용산핫플레이스#라떼맛집  ☕ #수제청에이드 🍹 #수제바닐라빈시럽 #수제바닐라빈라떼 ☕️ #바닐라라떼맛집 #원두맛집 #원두맛있는카페,"['#레이지앤코', '#레이지앤코서울', '#lazyandco', '#lazyandcoseoul', '#서울커피맛집', '#서울카페', '#용산커피맛집', '#용산디저트', '#신용산디저트', '#용산핫플레이스', '#신용산핫플레이스', '#라떼맛집', '#수제청에이드', '#수제바닐라빈시럽', '#수제바닐라빈라떼', '#바닐라라떼맛집', '#원두맛집', '#원두맛있는카페']",2021-11-22
강동역,30,커볶아 프리미엄라인과 오늘의 원두 입니당 🙌🏻,[],2021-11-22
,60,올해 들어서는 거의 처음으로 가위에 눌려서 어떻게 깨야할지 몰라 한참을 귀신과(?) 사투를 벌인 새벽.,[],2021-11-21
,441,"착한가격에 맛있는 커피를 즐길수 있는~가성비최고 카페 #영다방혜화명륜점😊.원하시면 캔에도 포장배달 가능보온보냉이 되기 때문에훨씬 더 시원하고 따뜻하게드실 수 있으며 커피또한 맛있기로입소문이 자자해요 ~❣️.포장, 배달을 전문으로 하고 있는대학로 명륜동의 인기있는 커피맛집어디서든 편하게 배달로 즐겨보세요!😆.👉영다방 혜화명륜점 서울 종로구 성균관로 3 1층 👉 070.8220.7636👉 영업시간 10:00~22:00👉 연중무휴👉 배달,포장 가능#서울커피맛집 #서울카페추천 #서울배달카페 #서울고로케맛집 #서울약과맛집 #서울커피추천 #영다방혜화명륜점 #서울디저트카페 #서울디저트카페추천 #대학로카페추천 #대학로가성비카페 #대학로디저트카페 #대학로배달카페추천 #대학로커피맛집 #대학로핫플 #대학로고로케 #대학로고로케맛집 #대학로가성비배달커피 #명륜동배달카페 #먹스타 #먹스타그램 #맞팔 #소통 #소통해요 #좋아요 #팔로우 #좋반 #좋반사 #소통","['#영다방혜화명륜점😊.원하시면', '#서울커피맛집', '#서울카페추천', '#서울배달카페', '#서울고로케맛집', '#서울약과맛집', '#서울커피추천', '#영다방혜화명륜점', '#서울디저트카페', '#서울디저트카페추천', '#대학로카페추천', '#대학로가성비카페', '#대학로디저트카페', '#대학로배달카페추천', '#대학로커피맛집', '#대학로핫플', '#대학로고로케', '#대학로고로케맛집', '#대학로가성비배달커피', '#명륜동배달카페', '#먹스타', '#먹스타그램', '#맞팔', '#소통', '#소통해요', '#좋아요', '#팔로우', '#좋반', '#좋반사', '#소통']",2021-11-21
무슈부부커피스텐드,46,"새벽예배 드리느라 3시간 자고 온 애랑 백신 2차 맞아서 힘든애 둘이 최악의 날씨에도 비몽사몽 커피 마시기. 이 정도면 이탈리아인도 울고 갈듯🤌✔메뉴추천가을밤(1.2)-수제메이플 시럽크림과 에스프레소, 위스키가 같이 들어간 에스프레소 꼬레또/시즌메뉴/알콜유무 선택가능.......#무슈부부커피스텐드 #에스프레소꼬레또 #에스프레소맛집 #서울커피맛집 #합정 #합정카페 #망원동 #망원동카페 #홍대카페 #서울카페 #카페충 #카페추천 #주말스타그램 #monsieurbubucoffeestand #espresso #espressocoretto #cafe #hapjeong #mangwon #seoul #korea #weekend #😴","['#무슈부부커피스텐드', '#에스프레소꼬레또', '#에스프레소맛집', '#서울커피맛집', '#합정', '#합정카페', '#망원동', '#망원동카페', '#홍대카페', '#서울카페', '#카페충', '#카페추천', '#주말스타그램', '#monsieurbubucoffeestand', '#espresso', '#espressocoretto', '#cafe', '#hapjeong', '#mangwon', '#seoul', '#korea', '#weekend', '#😴']",2021-11-21
,105,미세먼지 덕분에 날씨가 참 고약했지만..^^좋았던 카페와 가을 끝자락 느끼기🍁💛🍂,[],2021-11-21
